SiteID,lon,lat,Gtable,Gtable_std,Gtable_closure,Gtable_closure_std,Gtable_CV,years_1,years_2,years_3,years_4,years_5,years_6,years_7,years_8,years_9,years_10,years_11,years_12,years_13,years_14,years_15,years_16,years_17,years_18,years_19,years_20,years_21,years_22,years_23,years_24,years_25,years_26,Gseas_amp
DE-RuS,6.4471689,50.8659122,-2.48085438319901,0,-9.79679364533505,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48085438319901,0,0,6.13201325540918
DE-Seh,6.44965306,50.8706233,0.474588537616402,0,-15.3531654607222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474588537616402,0,0,0,0,0,0,5.73932299251639
DE-Tha,13.56694444,50.96361111,-0.20738052905237,0.283644234298756,-10.354881963656,7.84995245220789,-1.36774766461863,0,0,0,0,0,0,0,0.231772576427848,-0.200291478390491,0.033299145622691,-0.0413807405785358,-0.614290893849076,-0.403586312177013,0.116650833543322,-0.136685193618948,-1.003822482399,-0.0389084621223688,-0.960996854543787,-0.443744734946945,-0.0730328391575646,-0.874389112345833,-0.00535868006502138,-0.30893088594624,-0.226706864061674,-0.332504823172071,0,6.72314372207142
DE-Zrk,12.88901,53.875943,-0.960030366997782,0,-13.1648413657009,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.960030366997782,0,4.815654857717
DK-Eng,12.19175,55.69052778,0.418265305420266,0,-2.19052643436799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418265305420266,0,0,0,0,0,0,0,0,5.61029199894244
DK-Sor,11.6446444,55.4858694,-0.581300603638619,0.28311885264794,8.08935188510703,4.2303089801112,-0.487043796059686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.544278132219629,-0.418364691958666,-0.0719929394001926,-0.892883877616662,-0.561472626100563,-0.466800873944061,-1.07101810377766,-0.361016263604808,-0.731084838020386,-0.694093689743567,0,0,6.40074663279815
ES-Amo,-2.252318,36.833608,-1.64924995482703,0.980529528086013,-22.2213815458724,3.42648190362781,-0.594530577500517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.738129317796175,-1.2019558521763,-1.64601453059492,-3.01090011874071,0,0,0,6.29655142387723
ES-LJu,-2.752115,36.926594,-4.68110960099734,1.14640053660398,-32.4369618745243,7.16227596049958,-0.244899315401574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.98086811456051,-3.34420643158568,-3.38471349090704,-6.25078885706194,-5.37025975734171,-5.14332145410155,-5.02887587020096,-5.1110876069577,-5.51586482625896,0,0,5.86588217333626
FI-Hyy,24.295,61.8475,-0.00679087490452483,0,-3.2861778733255,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705670775009285,0.849737392438371,-0.00679087490452483,0.0669226423203678,-0.419718825049281,0.110792880109274,0.239078668299723,-1.07582936485182,-0.330215354289179,-0.209598297572785,0,6.95892276501929
FI-Jok,23.51345,60.8986,-0.521078057953432,0.127000990836321,3.89957449586982,4.67682568354089,-0.24372738191112,0,0,0,0,0,0,0,0,0,0,-0.494823844665467,-0.659154309800091,-0.409256019394737,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35421774715447
FI-Let,23.9597,60.641833,0.0742850486086422,0.0300371477115163,-8.90322084676378,1.08005204279185,0.404349842587594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530455777743271,0.0955245194429573,-0.631830114732005,0,0,0,5.45589331302747
FI-Lom,24.20918333,67.9972,0.193826387298933,0.0888636803162732,-5.39054941220164,0.562611217980255,0.458470498029875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130990276346103,0.256662498251763,0,0,0,0,0,0,0,4.12219193350889
FI-Sod,121.9717,31.5169,0.657005908638708,0.185660940488111,4.11360844971539,0.0707444050689317,0.282586409112809,0,0,0,0,0,0,0,0,0,0,0,0.468702145218604,0.530375051036009,0.870156023512076,0.906613881072407,0.549978901572448,0,0.616209449420702,0,0,0,0,0,0,0,0,5.68470533424077
FR-Gri,121.9717,31.5169,0.0675526095388995,0.410086916520214,-17.7861477358503,5.00522642758168,6.07063027349179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633045794201943,0.12468612890338,-0.335860328316794,0.734204102783178,1.86470138969789,-0.314772974141381,-0.180209157404905,-0.0023878915158249,-0.1182847981984,0,0,6.21236215736643
FR-LBr,121.9717,31.5169,2.45043517538287,1.04604265559567,-6.14477025815363,16.4770470579968,0.426880362355323,0,0,0,0,0,0,0,0,0,0,0,4.17342206800139,2.39208677168672,2.65699772266399,1.73748508437055,0,3.32155863140361,1.77051717259417,1.10097877695968,0,0,0,0,0,0,0,7.76165832465892
FR-Pue,3.595833,43.74139,-0.114718242415376,0.312109963204559,-7.83489230463899,3.77336539799337,-2.72066548992669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17939826682352,-0.604200596668224,-0.438034116167219,-0.236309671575283,-0.120989473964633,0.401140316453774,0,0,0,0,6.12427507750867
GH-Ank,-2.69420592,5.26854275,-0.473541342159923,0.249122138833705,-7.60157596107763,5.79812160406885,-0.5260831877897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.731625055350252,0,-0.454528744384852,-0.234470226744666,0,1.87393271459684
IT-CA1,12.02656111,42.38041111,1.98026190377356,0.735679996150367,NaN,NaN,0.371506412736854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50046621783477,1.46005758971234,0,5.93104624960833
IT-CA3,12.0222,42.38,0.256637299536513,0.218842226286678,-11.3310911395734,0.119761095567566,0.852729617564972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411382121753784,0.101892477319242,0,0,5.44894727560403
IT-Col,13.58814,41.84936,-0.268200417798274,0.176089959133897,2.70106525578057,6.98969240212564,-0.656561091811357,0,0,0,0,0,0,0,0,0.0167592681756505,-0.219766035298096,-0.2625661483059,0,0,0,0,-0.151779507805376,0,0,0,0,0,-0.410242754455016,0,-0.325846855770852,-0.523960891128327,0,5.53075268870853
IT-Cp2,12.3572931289673,41.7042655944824,-0.574005266304104,0,NaN,NaN,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.574005266304104,0,0,2.63156730220273
IT-Cpz,121.9717,31.5169,-0.322993316676019,0.270814763460999,11.6003760307994,5.46700856621736,-0.838453148962961,0,0,0,0,0,0,0,-0.781708892328388,0,0,0,-0.383907464830732,-0.23850940947754,-0.0836798725785118,-0.0828082484911218,-0.282806777049587,-0.0296103818880854,-0.725725501592934,-0.298183301847274,0,0,0,0,0,0,0,5.16399524928002
IT-Isp,8.633579,45.812643,-0.0819319139024084,0,-5.6551679276447,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819319139024084,0.208897277388594,0,4.7179946714771
IT-Lav,11.28132,45.9562,-0.0615702750932197,0.115947549289982,-25.0347214473178,2.39402058641703,-1.88317413093304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483256638972577,-0.0212319433002202,-0.450889966058206,-0.19812023948549,-0.123418435385608,-0.117447172797924,0.403802342514162,-0.505076502370194,-0.12591571969288,0.150309018619858,0,6.3579919349912
IT-MBo,11.045831,46.014678,0.0282228417282389,0.565258663825288,1.73001818007798,5.18760335764588,20.028410649368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.786629123000997,-1.66315084355616,-2.21175021044808,0.386366902865146,-0.240695990633932,-0.0324656042880611,0.590369595709316,0.7351675890763,-0.454553477630099,0,0,6.65361179087906
IT-Noe,121.9717,31.5169,1.19137222089452,0.389418027566362,3.9898947866324,7.7242074140631,0.32686512303768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67732351527101,1.16581959845031,1.04618553110948,18.5240443248237,2.02155452954949,1.40251950642905,1.34411346232826,0.901645114124532,0.90547914990893,1.25770958087962,0,7.46528274966769
IT-PT1,121.9717,31.5169,-0.131620271313225,0,-4.55538292690443,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131620271313225,0,0,0,0,0,0,0,0,0,0,0,5.29572447584293
IT-Ren,11.43369,46.58686,-0.269143936809832,0.350161608131285,-25.8625226134727,37.9954713705646,-1.3010198642472,0,0,0,0,0,0,0,0,0,0,-0.0511848209653935,-1.06240797964407,-0.190110223204075,0,0,-0.860078090651164,-0.0795217503098391,-0.603176480230294,-0.139632452660878,-0.302089305183678,-0.211050010609586,0.448637117158012,-0.636157888812358,-0.336219399438897,0,0,6.31751942017131
IT-Ro2,11.92093,42.39026,0.0523621422930042,0.117505634296374,-2.05295707552991,15.5334454077802,2.24409524039038,0,0,0,0,0,0,0,0,0,0,0,0,0.127666848738368,0,-0.691712825434887,0.061316047432585,0.995105812621233,0,0.0350719798215593,0,0,0.172073852455293,-0.134318016982783,0,0,0,4.91780966693585
IT-SR2,10.290954,43.732026,0.121317448085879,0,14.6739088606346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121317448085879,0,4.47477814017886
IT-SRo,121.9717,31.5169,-0.322111426934733,0.399106434782928,8.6065132128049,11.738650348178,-1.2390322149726,0,0,0,0,0,0,0,0,0,0,-0.841601253847446,-0.638640621932406,-1.87780891744673,-0.211310120394573,-2.68427995064928,-0.913878351735887,0.369785543748498,-0.0555977888787614,-0.117086208865816,-0.105832974707253,-0.387343832911734,-0.650642534966626,0.00892244820994655,0,0,0,5.8774122839561
